RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE SGT,TOTAL SG:TEE,MEASURED ROUNDS
1,1,Jon Rahm,50,1.194,46.55,39
2,2,Cameron Young,61,0.945,49.154,52
3,3,Rory McIlroy,34,0.894,26.835,30
4,8,Brendan Steele,61,0.72,33.138,46
5,10,Will Zalatoris,61,0.717,27.957,39
T6,7,Sergio Garcia,37,0.712,17.09,24
T6,5,Keith Mitchell,65,0.712,37.024,52
8,6,Corey Conners,64,0.7,34.303,49
9,4,Luke List,65,0.683,34.172,50
10,9,Cameron Champ,40,0.678,21.008,31
11,13,Matt Fitzpatrick,45,0.602,16.85,28
12,11,Sungjae Im,67,0.593,31.414,53
13,18,Joaquin Niemann,58,0.574,22.952,40
14,14,Hayden Buckley,61,0.55,24.758,45
15,12,Viktor Hovland,57,0.534,22.419,42
16,23,Patrick Cantlay,43,0.521,14.597,28
17,15,Trey Mullinax,56,0.52,21.842,42
18,25,Collin Morikawa,48,0.5,15.989,32
19,20,Justin Thomas,53,0.495,20.305,41
T20,26,Mito Pereira,74,0.494,31.144,63
T20,21,Seth Reeves,49,0.494,14.327,29
22,16,Keegan Bradley,65,0.493,23.672,48
23,19,Jordan Spieth,53,0.49,22.064,45
24,24,Tony Finau,55,0.487,19.957,41
25,28,Taylor Pendrith,51,0.466,18.175,39
26,29,Chris Kirk,66,0.45,22.046,49
T27,27,Max Homa,63,0.438,21.924,50
T27,30,Louis Oosthuizen,33,0.438,12.709,29
29,31,Austin Smotherman,57,0.433,17.738,41
30,33,Ryan Armour,40,0.42,9.65,23
31,17,Ryan Palmer,55,0.415,15.778,38
32,32,Jhonattan Vegas,61,0.412,19.383,47
T33,40,Abraham Ancer,59,0.395,18.163,46
T33,45,Emiliano Grillo,62,0.395,18.972,48
T33,34,Nick Hardy,39,0.395,8.294,21
36,35,Paul Barjon,51,0.392,16.077,41
37,36,Anirban Lahiri,58,0.389,18.669,48
38,44,Billy Horschel,56,0.374,14.595,39
T39,37,Si Woo Kim,76,0.372,23.055,62
T39,22,Xander Schauffele,51,0.372,13.755,37
41,T38,Joseph Bramlett,63,0.365,17.132,47
42,T38,Aaron Wise,60,0.351,19.331,55
43,42,Charles Howell III,46,0.345,13.446,39
44,43,Dustin Johnson,37,0.337,8.413,25
45,41,Daniel Berger,39,0.317,9.818,31
46,50,James Hahn,51,0.292,10.522,36
47,T51,Kevin Streelman,68,0.284,17.018,60
48,54,Lucas Glover,71,0.275,16.51,60
49,55,Sebastián Muñoz,62,0.273,13.924,51
T50,T47,K.H. Lee,70,0.271,16.824,62
T50,46,Davis Riley,74,0.271,15.738,58
52,49,Alex Smalley,69,0.265,14.071,53
53,56,Maverick McNealy,69,0.262,13.906,53
54,57,Matt Jones,61,0.253,12.911,51
T55,T47,Shane Lowry,43,0.242,7.275,30
T55,58,Hideki Matsuyama,53,0.242,10.662,44
57,61,Seamus Power,69,0.239,10.75,45
58,T51,J.T. Poston,58,0.236,11.815,50
T59,T59,Sam Burns,54,0.235,11.03,47
T59,T59,Kyle Stanley,47,0.235,6.335,27
61,64,Gary Woodland,53,0.229,10.521,46
62,53,Russell Knox,77,0.225,13.928,62
63,65,Scottie Scheffler,67,0.203,8.943,44
64,62,Martin Laird,48,0.198,8.116,41
65,74,Brian Harman,64,0.195,10.141,52
66,67,Tyler Duncan,61,0.194,7.748,40
67,70,Joel Dahmen,71,0.186,10.808,58
68,68,J.J. Spaun,73,0.185,10.154,55
69,69,Matthew NeSmith,76,0.166,9.94,60
70,71,Lee Hodges,65,0.163,8.634,53
71,66,Taylor Moore,60,0.16,7.992,50
72,75,Brooks Koepka,45,0.146,5.126,35
73,76,Callum Tarren,45,0.145,4.07,28
T74,77,Tommy Fleetwood,47,0.141,4.79,34
T74,81,Patrick Rodgers,65,0.141,6.635,47
76,79,Christiaan Bezuidenhout,61,0.138,5.111,37
77,88,Kurt Kitayama,54,0.122,4.134,34
78,78,Aaron Rai,73,0.119,6.313,53
79,80,Kramer Hickok,67,0.109,5.475,50
80,73,Erik van Rooyen,47,0.107,4.07,38
81,84,Curtis Thompson,53,0.097,2.811,29
82,72,Lanto Griffin,72,0.094,5.799,62
T83,83,Troy Merritt,69,0.09,4.843,54
T83,85,Sepp Straka,79,0.09,4.881,54
85,63,Adam Scott,48,0.085,3.314,39
86,86,Jason Kokrak,55,0.083,3.982,48
87,T94,Danny Lee,46,0.081,2.59,32
88,T94,Sahith Theegala,81,0.075,4.844,65
89,101,Doug Ghim,66,0.072,3.582,50
90,82,Brandon Hagy,61,0.071,2.928,41
91,90,Justin Rose,43,0.069,1.663,24
92,T98,Nate Lashley,64,0.068,3.353,49
93,96,Adam Long,71,0.055,3.112,57
94,87,Tom Hoge,79,0.054,3.002,56
95,T92,Michael Gligic,53,0.049,1.704,35
96,91,Marc Leishman,61,0.046,2.257,49
97,97,Alex Noren,58,0.032,1.322,41
98,89,Cam Davis,58,0.021,1.068,52
99,100,Branden Grace,50,0.019,0.765,41
100,T92,Wyndham Clark,67,0,0.023,49
101,108,Brandon Wu,56,-0.002,-0.072,34
102,104,Webb Simpson,45,-0.005,-0.185,37
103,102,Hudson Swafford,64,-0.008,-0.363,48
T104,T105,Russell Henley,61,-0.01,-0.452,47
T104,T105,Nick Taylor,66,-0.01,-0.518,51
106,107,Brice Garnett,63,-0.014,-0.632,45
T107,T109,Jim Herman,43,-0.031,-1.017,33
T107,T109,Peter Uihlein,46,-0.031,-0.814,26
109,111,Tyrrell Hatton,46,-0.036,-1.079,30
110,112,Vince Whaley,65,-0.045,-2.037,45
111,T114,Adam Svensson,72,-0.047,-2.546,54
112,T98,C.T. Pan,65,-0.056,-3.009,54
113,103,Danny Willett,44,-0.059,-1.537,26
114,T114,Scott Gutschewski,42,-0.072,-1.582,22
115,T121,Stewart Cink,51,-0.077,-3.532,46
116,116,Kiradech Aphibarnrat,43,-0.081,-1.948,24
117,117,Greyson Sigg,68,-0.083,-3.963,48
118,T121,John Huh,53,-0.09,-3.424,38
119,123,Scott Piercy,62,-0.092,-4.427,48
120,131,Robert Streb,59,-0.094,-4.596,49
121,T127,Garrick Higgo,48,-0.095,-2.859,30
122,124,Scott Stallings,70,-0.097,-5.432,56
123,113,Cameron Smith,44,-0.1,-3.489,35
124,130,Adam Hadwin,66,-0.102,-5.116,50
T125,T141,Adam Schenk,75,-0.105,-6.116,58
T125,143,Cameron Tringale,73,-0.105,-5.764,55
T125,125,Jared Wolfe,45,-0.105,-3.257,31
128,120,David Lipsky,70,-0.115,-5.995,52
129,126,Talor Gooch,72,-0.116,-6.123,53
130,140,Jason Day,48,-0.118,-4.497,38
131,118,Carlos Ortiz,55,-0.125,-5.729,46
T132,T127,Dylan Frittelli,67,-0.126,-6.907,55
T132,T127,Rory Sabbatini,39,-0.126,-4.287,34
134,133,Beau Hossler,56,-0.13,-6.369,49
135,119,Denny McCarthy,80,-0.138,-8.98,65
136,144,Rickie Fowler,53,-0.143,-6.009,42
T137,T135,Vaughn Taylor,39,-0.144,-3.461,24
T137,T135,Kevin Tway,59,-0.144,-6.761,47
T139,T137,Doc Redman,65,-0.146,-6.565,45
T139,T137,Harold Varner III,54,-0.146,-5.701,39
141,T141,Kevin Kisner,56,-0.149,-5.644,38
142,134,Jason Dufner,38,-0.15,-3.754,25
143,139,Camilo Villegas,58,-0.155,-5.568,36
144,132,Patton Kizzire,68,-0.184,-10.694,58
145,145,Matthew Wolff,46,-0.206,-6.99,34
146,T146,Harry Higgs,64,-0.209,-10.442,50
147,155,Sam Ryder,66,-0.212,-11.03,52
148,148,Dylan Wu,53,-0.213,-7.041,33
149,149,Joshua Creel,35,-0.217,-4.994,23
150,150,Ian Poulter,45,-0.219,-7.88,36
151,151,Dawie van der Walt,44,-0.229,-6.413,28
152,152,Andrew Novak,54,-0.23,-7.365,32
T153,T146,Matt Kuchar,59,-0.232,-12.042,52
T153,153,Roger Sloan,54,-0.232,-9.992,43
155,154,Mark Hubbard,48,-0.235,-7.283,31
156,158,Charley Hoffman,51,-0.24,-10.063,42
157,159,Chez Reavie,65,-0.261,-13.851,53
158,160,Jim Knous,35,-0.262,-4.724,18
159,161,Chase Seiffert,37,-0.267,-5.074,19
160,156,Francesco Molinari,45,-0.269,-10.238,38
161,166,Andrew Putnam,66,-0.271,-14.351,53
162,163,Henrik Norlander,56,-0.274,-11.524,42
163,165,Michael Thompson,64,-0.283,-15.279,54
164,167,Peter Malnati,79,-0.29,-18.242,63
165,T169,Chad Ramey,65,-0.292,-13.134,45
166,172,William McGirt,32,-0.297,-9.193,31
167,168,Graeme McDowell,44,-0.316,-9.152,29
168,T169,Sung Kang,66,-0.317,-14.589,46
169,171,Bill Haas,78,-0.334,-17.393,52
170,173,Brendon Todd,65,-0.346,-16.585,48
171,162,Mackenzie Hughes,57,-0.348,-14.63,42
172,174,Kevin Chappell,43,-0.35,-9.803,28
173,T175,Zach Johnson,48,-0.355,-14.575,41
T174,T177,Kelly Kraft,47,-0.366,-12.093,33
T174,T177,Charl Schwartzel,45,-0.366,-11.342,31
176,179,Matthias Schwab,54,-0.368,-12.874,35
177,184,Justin Lower,52,-0.371,-11.119,30
178,180,Hank Lebioda,60,-0.374,-16.44,44
T179,T185,Lucas Herbert,45,-0.4,-12.813,32
T179,164,Nick Watney,60,-0.4,-18.399,46
181,181,Pat Perez,62,-0.402,-20.509,51
182,182,Austin Cook,47,-0.406,-11.788,29
183,T175,Brandt Snedeker,53,-0.41,-16.821,41
184,183,Max McGreevy,54,-0.412,-14.824,36
185,T185,Brett Drewitt,42,-0.414,-9.93,24
186,187,Martin Trainer,62,-0.415,-18.269,44
187,188,Richy Werenski,50,-0.42,-15.111,36
188,189,Brian Stuard,75,-0.474,-24.162,51
189,190,Bronson Burgoon,37,-0.488,-13.178,27
190,192,Patrick Reed,65,-0.529,-24.85,47
191,191,Jimmy Walker,41,-0.565,-18.642,33
192,193,David Skinns,48,-0.582,-17.454,30
193,194,Jonathan Byrd,39,-0.597,-13.742,23
194,195,Chesson Hadley,58,-0.599,-23.979,40
195,196,Ben Kohles,47,-0.611,-16.5,27
196,197,Kevin Na,42,-0.633,-21.509,34
197,198,Stephan Jaeger,65,-0.766,-39.089,51
198,199,Matt Wallace,38,-0.785,-22.771,29
199,200,Brian Gay,39,-0.821,-22.981,28
200,201,Luke Donald,51,-0.845,-32.111,38
201,202,Seung-Yul Noh,47,-1.165,-32.621,28
202,203,Wesley Bryan,37,-1.214,-30.349,25
